property,value,state,condition,subject
duration,0.06801175202156204,NREM,recovery,Segundo
sink_amplitude,0.07522670838369477,NREM,recovery,Segundo
sink_integral,3.2919374134014774,NREM,recovery,Segundo
count,11130.0,NREM,recovery,Segundo
rate,0.9809650271122614,NREM,recovery,Segundo
duration,0.06087147208121888,wake,recovery,Segundo
sink_amplitude,0.07696241565144367,wake,recovery,Segundo
sink_integral,3.0413176327804963,wake,recovery,Segundo
count,1970.0,wake,recovery,Segundo
rate,0.36001460482440373,wake,recovery,Segundo
duration,0.06693798473282343,all-SPW-states,recovery,Segundo
sink_amplitude,0.07548772695754731,all-SPW-states,recovery,Segundo
sink_integral,3.254248789903518,all-SPW-states,recovery,Segundo
count,13100.0,all-SPW-states,recovery,Segundo
rate,0.7789287076875008,all-SPW-states,recovery,Segundo
duration,0.06741869205712527,NREM,early-recovery,Segundo
sink_amplitude,0.07651984271433583,NREM,early-recovery,Segundo
sink_integral,3.323253671230544,NREM,early-recovery,Segundo
count,3991.0,NREM,early-recovery,Segundo
rate,1.146845676078006,NREM,early-recovery,Segundo
duration,0.0606926365795711,wake,early-recovery,Segundo
sink_amplitude,0.07896200707692182,wake,early-recovery,Segundo
sink_integral,3.114977902648839,wake,early-recovery,Segundo
count,1263.0,wake,early-recovery,Segundo
rate,0.35141803059390203,wake,early-recovery,Segundo
duration,0.06585771050141954,all-SPW-states,early-recovery,Segundo
sink_amplitude,0.07822669074434466,all-SPW-states,early-recovery,Segundo
sink_integral,3.3161578781467393,all-SPW-states,early-recovery,Segundo
count,3171.0,all-SPW-states,early-recovery,Segundo
rate,0.9679516783275807,all-SPW-states,early-recovery,Segundo
duration,0.06656421192935903,NREM,late-recovery,Segundo
sink_amplitude,0.07399771601755961,NREM,late-recovery,Segundo
sink_integral,3.1718984532958006,NREM,late-recovery,Segundo
count,3001.0,NREM,late-recovery,Segundo
rate,0.8520726269094232,NREM,late-recovery,Segundo
duration,0.06143620853080992,wake,late-recovery,Segundo
sink_amplitude,0.07550581503299386,wake,late-recovery,Segundo
sink_integral,3.006259523373098,wake,late-recovery,Segundo
count,1055.0,wake,late-recovery,Segundo
rate,0.3839169392972563,wake,late-recovery,Segundo
duration,0.06446524271844478,all-SPW-states,late-recovery,Segundo
sink_amplitude,0.07419475163123869,all-SPW-states,late-recovery,Segundo
sink_integral,3.0832347433042417,all-SPW-states,late-recovery,Segundo
count,2060.0,all-SPW-states,late-recovery,Segundo
rate,0.6033977307224598,all-SPW-states,late-recovery,Segundo
duration,0.06849484425348969,NREM,first2h-recovery,Segundo
sink_amplitude,0.07565641971001487,NREM,first2h-recovery,Segundo
sink_integral,3.336742048758799,NREM,first2h-recovery,Segundo
count,7448.0,NREM,first2h-recovery,Segundo
rate,1.0537679147991763,NREM,first2h-recovery,Segundo
duration,0.06087147208121888,wake,first2h-recovery,Segundo
sink_amplitude,0.07696241565144367,wake,first2h-recovery,Segundo
sink_integral,3.0413176327804963,wake,first2h-recovery,Segundo
count,1970.0,wake,first2h-recovery,Segundo
rate,0.36001460482440373,wake,first2h-recovery,Segundo
duration,0.06815380554333302,all-SPW-states,first2h-recovery,Segundo
sink_amplitude,0.07628598375436585,all-SPW-states,first2h-recovery,Segundo
sink_integral,3.3461313063365496,all-SPW-states,first2h-recovery,Segundo
count,6819.0,all-SPW-states,first2h-recovery,Segundo
rate,0.9518452051993488,all-SPW-states,first2h-recovery,Segundo
duration,0.06726249561689375,NREM,baseline-light-period,Segundo
sink_amplitude,0.07153071426031674,NREM,baseline-light-period,Segundo
sink_integral,3.128577056032442,NREM,baseline-light-period,Segundo
count,19963.0,NREM,baseline-light-period,Segundo
rate,0.8268313430090072,NREM,baseline-light-period,Segundo
duration,0.06438846580406933,wake,baseline-light-period,Segundo
sink_amplitude,0.07125466782647961,wake,baseline-light-period,Segundo
sink_integral,3.0046541711536188,wake,baseline-light-period,Segundo
count,2705.0,wake,baseline-light-period,Segundo
rate,0.20259212745561087,wake,baseline-light-period,Segundo
duration,0.06691953414505283,all-SPW-states,baseline-light-period,Segundo
sink_amplitude,0.0714977733037469,all-SPW-states,baseline-light-period,Segundo
sink_integral,3.1137891875130643,all-SPW-states,baseline-light-period,Segundo
count,22668.0,all-SPW-states,baseline-light-period,Segundo
rate,0.6045455983386367,all-SPW-states,baseline-light-period,Segundo
duration,0.06693322981366479,NREM,first2h-recovery-match,Segundo
sink_amplitude,0.0719297717932565,NREM,first2h-recovery-match,Segundo
sink_integral,3.127369117300014,NREM,first2h-recovery-match,Segundo
count,5152.0,NREM,first2h-recovery-match,Segundo
rate,0.7260428431839212,NREM,first2h-recovery-match,Segundo
duration,0.06389848739495119,wake,first2h-recovery-match,Segundo
sink_amplitude,0.07021767004300322,wake,first2h-recovery-match,Segundo
sink_integral,2.947005766719051,wake,first2h-recovery-match,Segundo
count,1190.0,wake,first2h-recovery-match,Segundo
rate,0.1678903384099178,wake,first2h-recovery-match,Segundo
duration,0.06631320754716945,all-SPW-states,first2h-recovery-match,Segundo
sink_amplitude,0.07149615737262575,all-SPW-states,first2h-recovery-match,Segundo
sink_integral,3.0846506914448377,all-SPW-states,first2h-recovery-match,Segundo
count,3922.0,all-SPW-states,first2h-recovery-match,Segundo
rate,0.5496091652072337,all-SPW-states,first2h-recovery-match,Segundo
duration,0.06578472222224298,NREM,deprivation,Segundo
sink_amplitude,0.08072644946989606,NREM,deprivation,Segundo
sink_integral,3.421261754729802,NREM,deprivation,Segundo
count,864.0,NREM,deprivation,Segundo
rate,1.0046511627906978,NREM,deprivation,Segundo
duration,0.055356800789929266,wake,deprivation,Segundo
sink_amplitude,0.07454373348958282,wake,deprivation,Segundo
