band,region,power,state,condition,subject
low_delta,mpta_wm_ref,111746.84294407957,NREM,recovery,Segundo
low_delta,sr_wm_ref,128208.17993336213,NREM,recovery,Segundo
delta,mpta_wm_ref,406990.51384456316,NREM,recovery,Segundo
delta,sr_wm_ref,412754.4804485362,NREM,recovery,Segundo
theta,mpta_wm_ref,76743.79486927995,NREM,recovery,Segundo
theta,sr_wm_ref,330644.0568974694,NREM,recovery,Segundo
fast_gamma,mpta_wm_ref,1220.931999164838,NREM,recovery,Segundo
fast_gamma,sr_wm_ref,6325.408047097151,NREM,recovery,Segundo
low_delta,mpta_wm_ref,8752.99912578622,wake,recovery,Segundo
low_delta,sr_wm_ref,44816.71912664117,wake,recovery,Segundo
delta,mpta_wm_ref,18153.421600105845,wake,recovery,Segundo
delta,sr_wm_ref,132249.4497938257,wake,recovery,Segundo
theta,mpta_wm_ref,10915.760692140579,wake,recovery,Segundo
theta,sr_wm_ref,230484.22333452507,wake,recovery,Segundo
fast_gamma,mpta_wm_ref,1395.8780392068159,wake,recovery,Segundo
fast_gamma,sr_wm_ref,4265.158070133438,wake,recovery,Segundo
low_delta,mpta_wm_ref,56913.851153103926,all-SPW-states,recovery,Segundo
low_delta,sr_wm_ref,91942.58548039079,all-SPW-states,recovery,Segundo
delta,mpta_wm_ref,179257.83240213885,all-SPW-states,recovery,Segundo
delta,sr_wm_ref,298934.0369079767,all-SPW-states,recovery,Segundo
theta,mpta_wm_ref,51416.12099658561,all-SPW-states,recovery,Segundo
theta,sr_wm_ref,292659.10291628016,all-SPW-states,recovery,Segundo
fast_gamma,mpta_wm_ref,1262.4202074927289,all-SPW-states,recovery,Segundo
fast_gamma,sr_wm_ref,5769.236693728673,all-SPW-states,recovery,Segundo
low_delta,mpta_wm_ref,125833.70141375404,NREM,early-recovery,Segundo
low_delta,sr_wm_ref,145518.99686656042,NREM,early-recovery,Segundo
delta,mpta_wm_ref,605540.7393295411,NREM,early-recovery,Segundo
delta,sr_wm_ref,490607.0244282746,NREM,early-recovery,Segundo
theta,mpta_wm_ref,91178.56845322096,NREM,early-recovery,Segundo
theta,sr_wm_ref,358799.7269752686,NREM,early-recovery,Segundo
fast_gamma,mpta_wm_ref,1257.3629599895266,NREM,early-recovery,Segundo
fast_gamma,sr_wm_ref,6450.066026192022,NREM,early-recovery,Segundo
low_delta,mpta_wm_ref,8285.722087920985,wake,early-recovery,Segundo
low_delta,sr_wm_ref,45660.09942862993,wake,early-recovery,Segundo
delta,mpta_wm_ref,17580.97510040347,wake,early-recovery,Segundo
delta,sr_wm_ref,131721.81474090446,wake,early-recovery,Segundo
theta,mpta_wm_ref,10667.38299338347,wake,early-recovery,Segundo
theta,sr_wm_ref,233425.03192478235,wake,early-recovery,Segundo
fast_gamma,mpta_wm_ref,1378.757720855809,wake,early-recovery,Segundo
fast_gamma,sr_wm_ref,4107.0601297775975,wake,early-recovery,Segundo
low_delta,mpta_wm_ref,57639.693891135,all-SPW-states,early-recovery,Segundo
low_delta,sr_wm_ref,117321.89545988433,all-SPW-states,early-recovery,Segundo
delta,mpta_wm_ref,249031.08801993576,all-SPW-states,early-recovery,Segundo
delta,sr_wm_ref,402836.83876021655,all-SPW-states,early-recovery,Segundo
theta,mpta_wm_ref,70176.84601276787,all-SPW-states,early-recovery,Segundo
theta,sr_wm_ref,339878.0405799288,all-SPW-states,early-recovery,Segundo
fast_gamma,mpta_wm_ref,1363.3947618315267,all-SPW-states,early-recovery,Segundo
fast_gamma,sr_wm_ref,6565.553500720627,all-SPW-states,early-recovery,Segundo
low_delta,mpta_wm_ref,84204.87913437007,NREM,late-recovery,Segundo
low_delta,sr_wm_ref,109279.54611392354,NREM,late-recovery,Segundo
delta,mpta_wm_ref,252733.10963718657,NREM,late-recovery,Segundo
delta,sr_wm_ref,345862.5779670401,NREM,late-recovery,Segundo
theta,mpta_wm_ref,64875.86235816622,NREM,late-recovery,Segundo
theta,sr_wm_ref,317823.86920438666,NREM,late-recovery,Segundo
fast_gamma,mpta_wm_ref,1237.668534759418,NREM,late-recovery,Segundo
fast_gamma,sr_wm_ref,6490.796168371782,NREM,late-recovery,Segundo
low_delta,mpta_wm_ref,9772.555484382992,wake,late-recovery,Segundo
low_delta,sr_wm_ref,43549.66277213961,wake,late-recovery,Segundo
delta,mpta_wm_ref,20277.685820802813,wake,late-recovery,Segundo
delta,sr_wm_ref,138728.30068501827,wake,late-recovery,Segundo
theta,mpta_wm_ref,11687.702387896163,wake,late-recovery,Segundo
theta,sr_wm_ref,230941.0275612346,wake,late-recovery,Segundo
fast_gamma,mpta_wm_ref,1399.560455956664,wake,late-recovery,Segundo
fast_gamma,sr_wm_ref,4367.903522346736,wake,late-recovery,Segundo
low_delta,mpta_wm_ref,23889.79726032089,all-SPW-states,late-recovery,Segundo
low_delta,sr_wm_ref,68099.93703226189,all-SPW-states,late-recovery,Segundo
delta,mpta_wm_ref,57339.01575977102,all-SPW-states,late-recovery,Segundo
delta,sr_wm_ref,202644.21486542228,all-SPW-states,late-recovery,Segundo
theta,mpta_wm_ref,25895.13628579839,all-SPW-states,late-recovery,Segundo
theta,sr_wm_ref,261354.028214084,all-SPW-states,late-recovery,Segundo
fast_gamma,mpta_wm_ref,1353.0571900013638,all-SPW-states,late-recovery,Segundo
fast_gamma,sr_wm_ref,5912.1653496892595,all-SPW-states,late-recovery,Segundo
low_delta,mpta_wm_ref,127000.54168269003,NREM,first2h-recovery,Segundo
low_delta,sr_wm_ref,139306.93147969403,NREM,first2h-recovery,Segundo
delta,mpta_wm_ref,536270.78357854,NREM,first2h-recovery,Segundo
delta,sr_wm_ref,455742.5014581694,NREM,first2h-recovery,Segundo
theta,mpta_wm_ref,83819.04477315443,NREM,first2h-recovery,Segundo
theta,sr_wm_ref,339400.2916585965,NREM,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1219.7073268726413,NREM,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,6178.47864243746,NREM,first2h-recovery,Segundo
low_delta,mpta_wm_ref,8752.99912578622,wake,first2h-recovery,Segundo
low_delta,sr_wm_ref,44816.71912664117,wake,first2h-recovery,Segundo
delta,mpta_wm_ref,18153.421600105845,wake,first2h-recovery,Segundo
delta,sr_wm_ref,132249.4497938257,wake,first2h-recovery,Segundo
theta,mpta_wm_ref,10915.760692140579,wake,first2h-recovery,Segundo
theta,sr_wm_ref,230484.22333452507,wake,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1395.8780392068159,wake,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,4265.158070133438,wake,first2h-recovery,Segundo
low_delta,mpta_wm_ref,98389.72357190591,all-SPW-states,first2h-recovery,Segundo
low_delta,sr_wm_ref,122111.16164284444,all-SPW-states,first2h-recovery,Segundo
delta,mpta_wm_ref,441394.71769366146,all-SPW-states,first2h-recovery,Segundo
delta,sr_wm_ref,411909.24335382733,all-SPW-states,first2h-recovery,Segundo
theta,mpta_wm_ref,74346.1968467267,all-SPW-states,first2h-recovery,Segundo
theta,sr_wm_ref,327977.5728661555,all-SPW-states,first2h-recovery,Segundo
