band,region,power,state,condition,subject
low_delta,mpta_wm_ref,140722.16524334584,NREM,recovery,Segundo
low_delta,sr_wm_ref,181195.814877951,NREM,recovery,Segundo
delta,mpta_wm_ref,484987.8108885667,NREM,recovery,Segundo
delta,sr_wm_ref,469521.8967436923,NREM,recovery,Segundo
theta,mpta_wm_ref,87388.59133746085,NREM,recovery,Segundo
theta,sr_wm_ref,357731.93370900024,NREM,recovery,Segundo
fast_gamma,mpta_wm_ref,1271.7951722344792,NREM,recovery,Segundo
fast_gamma,sr_wm_ref,6920.3920671773,NREM,recovery,Segundo
low_delta,mpta_wm_ref,17530.548413800632,wake,recovery,Segundo
low_delta,sr_wm_ref,82800.61245244897,wake,recovery,Segundo
delta,mpta_wm_ref,37543.66172646428,wake,recovery,Segundo
delta,sr_wm_ref,202673.02593135988,wake,recovery,Segundo
theta,mpta_wm_ref,16551.357727744322,wake,recovery,Segundo
theta,sr_wm_ref,255389.85726105818,wake,recovery,Segundo
fast_gamma,mpta_wm_ref,1532.0512023693655,wake,recovery,Segundo
fast_gamma,sr_wm_ref,5353.853230906767,wake,recovery,Segundo
low_delta,mpta_wm_ref,100625.53621103139,all-SPW-states,recovery,Segundo
low_delta,sr_wm_ref,149169.96740755168,all-SPW-states,recovery,Segundo
delta,mpta_wm_ref,339352.8843946911,all-SPW-states,recovery,Segundo
delta,sr_wm_ref,382667.4462865733,all-SPW-states,recovery,Segundo
theta,mpta_wm_ref,64332.361126161086,all-SPW-states,recovery,Segundo
theta,sr_wm_ref,324421.45058247406,all-SPW-states,recovery,Segundo
fast_gamma,mpta_wm_ref,1356.5037730492554,all-SPW-states,recovery,Segundo
fast_gamma,sr_wm_ref,6410.512188990745,all-SPW-states,recovery,Segundo
low_delta,mpta_wm_ref,157840.89212718638,NREM,early-recovery,Segundo
low_delta,sr_wm_ref,202175.34215217756,NREM,early-recovery,Segundo
delta,mpta_wm_ref,631891.815686498,NREM,early-recovery,Segundo
delta,sr_wm_ref,535910.5664242087,NREM,early-recovery,Segundo
theta,mpta_wm_ref,99891.17074758072,NREM,early-recovery,Segundo
theta,sr_wm_ref,388758.2409052378,NREM,early-recovery,Segundo
fast_gamma,mpta_wm_ref,1323.0278379370623,NREM,early-recovery,Segundo
fast_gamma,sr_wm_ref,7114.201435013737,NREM,early-recovery,Segundo
low_delta,mpta_wm_ref,14575.080399737757,wake,early-recovery,Segundo
low_delta,sr_wm_ref,83791.84059053707,wake,early-recovery,Segundo
delta,mpta_wm_ref,30487.67024585994,wake,early-recovery,Segundo
delta,sr_wm_ref,203098.26691338548,wake,early-recovery,Segundo
theta,mpta_wm_ref,14151.06501740467,wake,early-recovery,Segundo
theta,sr_wm_ref,256893.2048883105,wake,early-recovery,Segundo
fast_gamma,mpta_wm_ref,1533.957938006634,wake,early-recovery,Segundo
fast_gamma,sr_wm_ref,5162.8139786981465,wake,early-recovery,Segundo
low_delta,mpta_wm_ref,108520.80707214893,all-SPW-states,early-recovery,Segundo
low_delta,sr_wm_ref,178497.1797971163,all-SPW-states,early-recovery,Segundo
delta,mpta_wm_ref,443860.22959656874,all-SPW-states,early-recovery,Segundo
delta,sr_wm_ref,459842.3828832285,all-SPW-states,early-recovery,Segundo
theta,mpta_wm_ref,79064.62912466309,all-SPW-states,early-recovery,Segundo
theta,sr_wm_ref,378419.568480961,all-SPW-states,early-recovery,Segundo
fast_gamma,mpta_wm_ref,1484.2295248609162,all-SPW-states,early-recovery,Segundo
fast_gamma,sr_wm_ref,7255.8353665517825,all-SPW-states,early-recovery,Segundo
low_delta,mpta_wm_ref,109919.55538805305,NREM,late-recovery,Segundo
low_delta,sr_wm_ref,152853.17953933612,NREM,late-recovery,Segundo
delta,mpta_wm_ref,316623.6289925755,NREM,late-recovery,Segundo
delta,sr_wm_ref,396404.64757485065,NREM,late-recovery,Segundo
theta,mpta_wm_ref,76448.09030426209,NREM,late-recovery,Segundo
theta,sr_wm_ref,340961.4875085736,NREM,late-recovery,Segundo
fast_gamma,mpta_wm_ref,1279.7373520630354,NREM,late-recovery,Segundo
fast_gamma,sr_wm_ref,7119.286162220097,NREM,late-recovery,Segundo
low_delta,mpta_wm_ref,23216.190542417957,wake,late-recovery,Segundo
low_delta,sr_wm_ref,80664.82623901633,wake,late-recovery,Segundo
delta,mpta_wm_ref,51091.33198537632,wake,late-recovery,Segundo
delta,sr_wm_ref,207029.08331414018,wake,late-recovery,Segundo
theta,mpta_wm_ref,20822.331423850523,wake,late-recovery,Segundo
theta,sr_wm_ref,261591.26612593382,wake,late-recovery,Segundo
fast_gamma,mpta_wm_ref,1502.634997753833,wake,late-recovery,Segundo
fast_gamma,sr_wm_ref,5452.839946944502,wake,late-recovery,Segundo
low_delta,mpta_wm_ref,53959.3275466858,all-SPW-states,late-recovery,Segundo
low_delta,sr_wm_ref,116833.1911240002,all-SPW-states,late-recovery,Segundo
delta,mpta_wm_ref,139137.8062525197,all-SPW-states,late-recovery,Segundo
delta,sr_wm_ref,295668.8474700987,all-SPW-states,late-recovery,Segundo
theta,mpta_wm_ref,44497.62685850864,all-SPW-states,late-recovery,Segundo
theta,sr_wm_ref,296412.8403749527,all-SPW-states,late-recovery,Segundo
fast_gamma,mpta_wm_ref,1446.0273077332752,all-SPW-states,late-recovery,Segundo
fast_gamma,sr_wm_ref,6674.162631028119,all-SPW-states,late-recovery,Segundo
low_delta,mpta_wm_ref,156046.11133029868,NREM,first2h-recovery,Segundo
low_delta,sr_wm_ref,197375.86076588143,NREM,first2h-recovery,Segundo
delta,mpta_wm_ref,575776.1785643346,NREM,first2h-recovery,Segundo
delta,sr_wm_ref,508625.61330154573,NREM,first2h-recovery,Segundo
theta,mpta_wm_ref,93250.71808079674,NREM,first2h-recovery,Segundo
theta,sr_wm_ref,368537.18511114625,NREM,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1274.0410114938845,NREM,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,6784.826993166867,NREM,first2h-recovery,Segundo
low_delta,mpta_wm_ref,17530.548413800632,wake,first2h-recovery,Segundo
low_delta,sr_wm_ref,82800.61245244897,wake,first2h-recovery,Segundo
delta,mpta_wm_ref,37543.66172646428,wake,first2h-recovery,Segundo
delta,sr_wm_ref,202673.02593135988,wake,first2h-recovery,Segundo
theta,mpta_wm_ref,16551.357727744322,wake,first2h-recovery,Segundo
theta,sr_wm_ref,255389.85726105818,wake,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1532.0512023693655,wake,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,5353.853230906767,wake,first2h-recovery,Segundo
low_delta,mpta_wm_ref,134703.0195607751,all-SPW-states,first2h-recovery,Segundo
low_delta,sr_wm_ref,181347.8988618289,all-SPW-states,first2h-recovery,Segundo
delta,mpta_wm_ref,505001.5814844878,all-SPW-states,first2h-recovery,Segundo
delta,sr_wm_ref,467001.6201145784,all-SPW-states,first2h-recovery,Segundo
theta,mpta_wm_ref,83243.87570777697,all-SPW-states,first2h-recovery,Segundo
theta,sr_wm_ref,358702.37055316276,all-SPW-states,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1360.361763519291,all-SPW-states,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,6532.491445215703,all-SPW-states,first2h-recovery,Segundo
low_delta,mpta_wm_ref,88483.50942190397,NREM,baseline-light-period,Segundo
low_delta,sr_wm_ref,158317.87500661728,NREM,baseline-light-period,Segundo
delta,mpta_wm_ref,248743.67011920628,NREM,baseline-light-period,Segundo
delta,sr_wm_ref,386944.09754635725,NREM,baseline-light-period,Segundo
theta,mpta_wm_ref,71434.08928614827,NREM,baseline-light-period,Segundo
theta,sr_wm_ref,312591.53521098883,NREM,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1161.0954778904852,NREM,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,6104.508594583952,NREM,baseline-light-period,Segundo
low_delta,mpta_wm_ref,13868.57296065803,wake,baseline-light-period,Segundo
low_delta,sr_wm_ref,65990.60321804223,wake,baseline-light-period,Segundo
delta,mpta_wm_ref,25724.628195297664,wake,baseline-light-period,Segundo
delta,sr_wm_ref,157797.26715098455,wake,baseline-light-period,Segundo
theta,mpta_wm_ref,13081.923987333512,wake,baseline-light-period,Segundo
theta,sr_wm_ref,218748.07120528823,wake,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1345.7581560614283,wake,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,4094.211374362864,wake,baseline-light-period,Segundo
