property,value,state,condition,subject
duration,0.06080000000019936,NREM,recovery,Segundo
sink_amplitude,0.06963944285652632,NREM,recovery,Segundo
sink_integral,2.843480200729974,NREM,recovery,Segundo
count,11130.0,NREM,recovery,Segundo
rate,0.9809650271122614,NREM,recovery,Segundo
duration,0.05519999999978609,wake,recovery,Segundo
sink_amplitude,0.07139127294823255,wake,recovery,Segundo
sink_integral,2.6209800205994687,wake,recovery,Segundo
count,1970.0,wake,recovery,Segundo
rate,0.36001460482440373,wake,recovery,Segundo
duration,0.05999999999994543,all-SPW-states,recovery,Segundo
sink_amplitude,0.06986987012671879,all-SPW-states,recovery,Segundo
sink_integral,2.8092815370632627,all-SPW-states,recovery,Segundo
count,13100.0,all-SPW-states,recovery,Segundo
rate,0.7789287076875008,all-SPW-states,recovery,Segundo
duration,0.059600000000500586,NREM,early-recovery,Segundo
sink_amplitude,0.07040858655817886,NREM,early-recovery,Segundo
sink_integral,2.8905702962771405,NREM,early-recovery,Segundo
count,3991.0,NREM,early-recovery,Segundo
rate,1.146845676078006,NREM,early-recovery,Segundo
duration,0.05480000000000018,wake,early-recovery,Segundo
sink_amplitude,0.07284351603641541,wake,early-recovery,Segundo
sink_integral,2.6520503374379976,wake,early-recovery,Segundo
count,1263.0,wake,early-recovery,Segundo
rate,0.35141803059390203,wake,early-recovery,Segundo
duration,0.05879999999979191,all-SPW-states,early-recovery,Segundo
sink_amplitude,0.07221916990105945,all-SPW-states,early-recovery,Segundo
sink_integral,2.8647290193885935,all-SPW-states,early-recovery,Segundo
count,3171.0,all-SPW-states,early-recovery,Segundo
rate,0.9679516783275807,all-SPW-states,early-recovery,Segundo
duration,0.06079999999928987,NREM,late-recovery,Segundo
sink_amplitude,0.06868216788134954,NREM,late-recovery,Segundo
sink_integral,2.7788137196084026,NREM,late-recovery,Segundo
count,3001.0,NREM,late-recovery,Segundo
rate,0.8520726269094232,NREM,late-recovery,Segundo
duration,0.05599999999958527,wake,late-recovery,Segundo
