subject,region,mean_low_delta,total_low_delta,mean_delta,total_delta,mean_theta,total_theta,mean_fast_gamma,total_fast_gamma,condition
Segundo,mpta_wm_ref,11618.90335053721,79450061.11097345,21352.896421785397,146011105.73216856,11364.453430694775,77710132.55909087,1911.200720884225,13068790.52940633,extended-wake
Segundo,sr_wm_ref,74449.80092254886,509087738.7083891,182932.842417403,1250894776.4502017,230367.10353120352,1575250253.9463696,6744.448204478873,46118536.82222653,extended-wake
Valentino,mpta_wm_ref,6350.634756403889,45667414.53330036,13844.942881571233,99558984.26137874,9774.820581837426,70290734.80399293,1577.2165865948882,11341764.474203842,extended-wake
Valentino,sr_wm_ref,110318.63859112748,793301330.1087978,239242.5927964832,1720393484.7995107,153836.2710707478,1106236625.2697475,6860.611325214701,49334656.03961891,extended-wake
Doppio,mpta_wm_ref,16012.26721082092,115224274.84906735,36277.51601672872,261053005.25637984,16935.407833745394,121867194.77163185,1615.6971055736094,11626556.371707693,extended-wake
Doppio,sr_wm_ref,57512.691752355604,413861329.8499509,159759.21103699968,1149627282.6222496,148468.99797001705,1068382909.3922427,6658.626778381407,47915478.297232606,extended-wake
Alessandro,mpta_wm_ref,6078.353577880972,41399666.2189473,16882.74718296426,114988391.06316958,29318.041460958175,199685180.39058614,1789.5805662041887,12188833.23641673,extended-wake
Alessandro,sr_wm_ref,46311.39001519639,315426877.3935026,172795.3304674709,1176908995.8139443,173673.87725277778,1182892777.9686694,10403.876008328234,70860799.4927236,extended-wake
Allan,mpta_wm_ref,11679.733131184348,74177985.1161518,30594.193335360076,194303721.87287185,17218.254822772586,109353136.37942868,2309.7453947788417,14669193.002240425,extended-wake
Allan,sr_wm_ref,53777.71370358221,341542259.7314506,190288.7052211783,1208523566.8597033,111133.37997573742,705808096.2259084,8663.174339349087,55019820.229206055,extended-wake
