subject,region,mean_low_delta,total_low_delta,mean_delta,total_delta,mean_theta,total_theta,mean_fast_gamma,total_fast_gamma,condition
Segundo,mpta_wm_ref,13.131151133638234,89790.81145181824,8.584297406061578,58699.425662649075,15.909005832175506,108785.7818804161,164.60323524440426,1125556.9226012363,extended-wake
Segundo,sr_wm_ref,47.025518072066994,321560.4925767941,47.27629742316628,323275.321779611,73.69588667067148,503932.47305405163,110.48306509819143,755483.199141433,extended-wake
Valentino,mpta_wm_ref,14.776445721658252,106257.4211844445,14.902697161115803,107165.29528558374,33.12412786203515,238195.6034558948,179.00097327148748,1287195.9987952665,extended-wake
Valentino,sr_wm_ref,49.94482995850752,359153.27223162755,56.43479756554807,405822.62929385615,63.527008611299635,456822.7189238557,79.51163315257408,571768.1540001602,extended-wake
Doppio,mpta_wm_ref,29.86424896194494,214903.1355301558,16.071358151166383,115649.49325579328,26.831133861454287,193076.83926702506,168.32355035819228,1211256.2683775516,extended-wake
Doppio,sr_wm_ref,69.60704302334979,500892.2815960251,61.237894460028734,440667.8885343668,71.9189056676838,517528.44518465264,108.96368420665623,784102.6715510982,extended-wake
Alessandro,mpta_wm_ref,16.721434341446653,113889.68929959316,8.08271919038124,55051.400405686625,43.76567745490964,298088.02914538956,145.11426081951345,988373.230441706,extended-wake
Alessandro,sr_wm_ref,40.56310368216424,276275.29917922063,40.40573190836091,275203.4400278462,65.49244733780677,446069.0588178019,112.18016207865804,764059.0839177399,extended-wake
Allan,mpta_wm_ref,23.248073405771592,147648.5142000554,9.31422623471828,59154.650816695794,18.43019865785323,117050.19167602585,186.1849699621572,1182460.7442296604,extended-wake
Allan,sr_wm_ref,74.94000967235007,475944.0014290953,66.29487937798883,421038.7789296071,65.81655092193043,418000.9149051801,92.04184177996565,584557.7371445618,extended-wake
