subject,region,mean_delta,total_delta,mean_theta,total_theta,mean_fast_gamma,total_fast_gamma,condition
Segundo,mpta_wm_ref,9.71326696471013,23243.84784655134,18.780688422243923,44942.18739442971,175.6746777947565,420389.5039628523,extended-wake-last2h
Segundo,sr_wm_ref,56.77375234383147,135859.5893587887,80.61551747155836,192912.93330943916,127.81456746868312,305860.2599525587,extended-wake-last2h
Valentino,mpta_wm_ref,16.51399726702069,39617.07944358264,36.83717778183937,88372.38949863265,202.3714992262594,485489.2266437963,extended-wake-last2h
Valentino,sr_wm_ref,62.59887970210542,150174.7124053509,65.58022740732096,157326.965550163,92.23296489749043,221266.88278907954,extended-wake-last2h
Doppio,mpta_wm_ref,21.59389093318996,51803.744348722714,31.949615179533176,76647.12681570009,166.68115876905674,399868.0998869671,extended-wake-last2h
Doppio,sr_wm_ref,69.62507016163934,167030.54331777277,74.67951609380576,179156.15910904002,116.10134675938404,278527.1308757623,extended-wake-last2h
Alessandro,mpta_wm_ref,8.076883533257273,19368.36671275094,47.28928025680546,113399.69405581949,159.54401065532576,382586.5375514712,extended-wake-last2h
Alessandro,sr_wm_ref,46.57699216036366,111691.62720055206,72.6393217675487,174189.09359858176,127.36311993552168,305416.761605381,extended-wake-last2h
Allan,mpta_wm_ref,10.191695797888958,22829.398587271266,19.195925062127014,42998.87213916451,186.48143664964655,417718.4180952083,extended-wake-last2h
Allan,sr_wm_ref,70.39300373925312,157680.32837592697,69.57436105193389,155846.56875633192,97.5177694586729,218439.8035874273,extended-wake-last2h
