subject,region,mean_low_delta,total_low_delta,mean_delta,total_delta,mean_theta,total_theta,mean_fast_gamma,total_fast_gamma,condition
Segundo,mpta_wm_ref,156046.11133029868,367488592.1828534,575776.1785643346,1355952900.5190082,93250.71808079674,219605441.0802763,1274.041011493885,3000366.582068099,recovery-sleep-first2h
Segundo,sr_wm_ref,197375.86076588143,464820152.10365075,508625.6133015457,1197813319.32514,368537.18511114625,867905070.9367495,6784.826993166868,15978267.568907974,recovery-sleep-first2h
Valentino,mpta_wm_ref,55469.37822201475,132793691.4635033,158039.03743207207,378345455.61238056,49253.645010654676,117913226.1555073,1209.2910523462435,2895042.779316907,recovery-sleep-first2h
Valentino,sr_wm_ref,274715.9209976142,657669914.8682884,573600.2394499185,1373198973.243105,273831.46769969695,655552533.6730745,10092.754517277228,24162054.314361684,recovery-sleep-first2h
Doppio,mpta_wm_ref,97919.5524637551,233538132.62605593,541686.248594161,1291921702.897074,79897.6939839075,190556000.1516194,1085.4749567767265,2588857.7719124923,recovery-sleep-first2h
Doppio,sr_wm_ref,104875.6631324865,250128456.5709803,372960.79303446756,889511491.3872051,233467.90757432298,556820959.5647603,6665.3196443481365,15896787.351770306,recovery-sleep-first2h
Alessandro,mpta_wm_ref,44882.55579659846,102646405.10682069,370330.3647957181,846945544.2878073,73480.78894347834,168050564.31373498,1093.2493836355516,2500261.3403745065,recovery-sleep-first2h
Alessandro,sr_wm_ref,128659.2114252667,294243616.52958494,563126.4048571361,1287870087.9082701,321067.8681864817,734282214.5424837,9783.090882362201,22373928.847962353,recovery-sleep-first2h
Allan,mpta_wm_ref,105533.72755173504,251275805.3006811,854412.4884523553,2034356135.0050578,131441.68252542068,312962646.09302664,1243.175046651163,2959999.786076419,recovery-sleep-first2h
Allan,sr_wm_ref,91469.50358722275,217788888.04117736,370018.9042105681,881015010.9253627,186290.06339334822,443556640.9395621,9423.743054219325,22437932.212096214,recovery-sleep-first2h
