subject,region,mean_low_delta,total_low_delta,mean_delta,total_delta,mean_theta,total_theta,mean_fast_gamma,total_fast_gamma,condition
Segundo,mpta_wm_ref,176.3561508238166,415318.73519008805,231.47370073313107,545120.5652265237,130.54092102617335,307423.86901663826,109.72749750163557,258408.25661635175,recovery-sleep-first2h
Segundo,sr_wm_ref,124.67061016175924,293599.286930943,131.44679464728333,309557.20139435225,117.89736560281342,277648.2959946256,111.14452356061089,261745.35298523866,recovery-sleep-first2h
Valentino,mpta_wm_ref,129.0643042705653,308979.9444237333,170.11322723616186,407251.0660033715,166.90680113716692,399574.8819223776,137.24448321064875,328563.2928062931,recovery-sleep-first2h
Valentino,sr_wm_ref,124.37281801467145,297748.52632712346,135.3062304605733,323923.1157226125,113.07927503393182,270711.7844312328,116.97082907573326,280028.16480730544,recovery-sleep-first2h
Doppio,mpta_wm_ref,182.62834703655258,435568.6076821779,239.9732578907567,572336.2200694548,126.58364909477449,301902.00309103716,113.08493276324681,269707.56464034365,recovery-sleep-first2h
Doppio,sr_wm_ref,126.9299796851594,302728.00154910516,142.9609819260054,340961.94189352286,113.09267692814939,269726.0344736363,109.07320819079165,260139.6015350381,recovery-sleep-first2h
Alessandro,mpta_wm_ref,123.47105185854883,282378.2956005012,177.2979429162833,405480.3954495399,109.6913827724515,250864.1924005966,88.6498653336188,202742.24201798622,recovery-sleep-first2h
Alessandro,sr_wm_ref,112.68970616075504,257721.35798964679,131.67910546899836,301150.11420759925,121.0747452736371,276897.94244080805,105.48652443907555,241247.6813921658,recovery-sleep-first2h
Allan,mpta_wm_ref,210.06095065278672,500155.1235042852,260.1209689688398,619348.0271148075,140.69348756890395,334991.19390156027,100.21039948457752,238600.9611727791,recovery-sleep-first2h
Allan,sr_wm_ref,127.46405548837816,303491.9161178284,128.91126981868356,306937.73343828553,110.32661335644381,262687.6664016927,100.1224993512803,238391.67095539838,recovery-sleep-first2h
