subject,condition,count,duration_secs,rate_hz
Segundo,baseline-light-period-nrem,19963,24143.980714798,0.8268313430090072
Segundo,recovery-first2h-match,5152,7095.999979019,0.7260428431839212
Segundo,recovery-first2h,7448,7067.969991684,1.0537679147991763
Segundo,recovery-first1h,3991,3479.97998619,1.146845676078006
Segundo,recovery-last1h,2896,3438.00024414,0.8423501437895974
Segundo,recovery-full,11130,11345.970235824,0.9809650271122614
Segundo,deprivation,8966,21599.990234363,0.41509278026136176
Segundo,deprivation-first1h,685,3596.696799999,0.19045252855347453
Segundo,deprivation-last1h,1940,3594.790234375,0.5396698759913299
Segundo,deprivation-first1h-aWk,665,3542.813599997,0.18770391984510928
Segundo,deprivation-last1h-aWk,1523,3562.371834373,0.4275241526739888
Segundo,deprivation-first1h-qWk,1090,3594.605999998,0.30323212057193655
Segundo,deprivation-last1h-qWk,2280,3533.405999999,0.6452697482261154
Valentino,baseline-light-period-nrem,13497,22737.980993268,0.5935883227273361
Valentino,recovery-first2h-match,4217,7195.990243909,0.5860208056242784
Valentino,recovery-first2h,6041,7193.970218657,0.8397310270110846
Valentino,recovery-first1h,3042,3581.990238189,0.8492485455621981
Valentino,recovery-last1h,2524,3575.989980697,0.7058185323852737
Valentino,recovery-full,10028,13001.960199354,0.771268320025948
Valentino,deprivation,7706,21599.999999989,0.35675925925944096
Valentino,deprivation-first1h,808,3591.724742991,0.2249615596453363
Valentino,deprivation-last1h,1582,3599.802399998,0.4394685663859991
Valentino,deprivation-first1h-aWk,596,3581.656741292,0.166403439260069
Valentino,deprivation-last1h-aWk,929,3598.865986217,0.2581368696578034
Valentino,deprivation-first1h-qWk,1461,3535.094458705,0.41328457190227486
Valentino,deprivation-last1h-qWk,2046,3557.351923189,0.5751469194439038
Doppio,baseline-light-period-nrem,15860,22259.960483548,0.7124900339208547
Doppio,recovery-first2h-match,5319,7151.970233916,0.7437111489609244
Doppio,recovery-first2h,6281,7163.989982604,0.8767460612384822
Doppio,recovery-first1h,3089,3411.999984741,0.9053341189374248
Doppio,recovery-last1h,2618,3546.000003814,0.7382966715127288
Doppio,recovery-full,10143,11957.969966886,0.8482208960290072
Doppio,deprivation,7887,21599.999999988,0.3651388888890918
Doppio,deprivation-first1h,512,3449.449980684,0.14842946060011405
Doppio,deprivation-last1h,1569,3535.916484601,0.44373219979403705
Doppio,deprivation-first1h-aWk,287,3240.764672336,0.08855934602407443
Doppio,deprivation-last1h-aWk,810,3537.77336343,0.2289575721195084
Doppio,deprivation-first1h-qWk,1700,3586.669144746,0.47397736768953924
Doppio,deprivation-last1h-qWk,2422,3523.849570617,0.6873165132233285
Alessandro,baseline-light-period-nrem,15344,23379.899854654,0.6562902362879722
Alessandro,recovery-first2h-match,4212,7175.989965436,0.5869573425112903
Alessandro,recovery-first2h,6286,6877.979970932,0.9139311289893473
Alessandro,recovery-first1h,3364,3459.989980698,0.9722571506757266
Alessandro,recovery-last1h,2248,3521.990005493,0.6382755193779519
Alessandro,recovery-full,12440,15829.939939497,0.7858526341569483
Alessandro,deprivation,7897,20961.941468599,0.37673037165139067
Alessandro,deprivation-first1h,744,3599.99964344,0.20666668713585387
Alessandro,deprivation-last1h,1906,3599.500046268,0.529517981803101
Alessandro,deprivation-first1h-aWk,671,3540.812573602,0.18950452362334577
Alessandro,deprivation-last1h-aWk,1667,3517.936757539,0.47385729616303923
Alessandro,deprivation-first1h-qWk,1337,3594.008148103,0.3720080603338919
Alessandro,deprivation-last1h-qWk,1685,3554.810854198,0.47400552915779604
Eugene,baseline-light-period-nrem,7992,16591.949968333,0.48167936952879803
Eugene,recovery-first2h-match,797,5583.979995725,0.14272973767996477
Eugene,recovery-first2h,5864,7131.969985961,0.8222132190044338
Eugene,recovery-first1h,2914,3513.979995727,0.8292591316807222
Eugene,recovery-last1h,2182,3581.98999977,0.6091585962384335
Eugene,recovery-full,10789,13957.949975965,0.7729645125952022
Eugene,deprivation,11528,18248.676307132,0.6317170520195262
Eugene,deprivation-first1h,890,3510.703086121,0.25351047302133634
Eugene,deprivation-last1h,2252,3451.875310489,0.6523989998007711
Eugene,deprivation-first1h-aWk,1274,3549.693227028,0.3589042541196337
Eugene,deprivation-last1h-aWk,2279,3554.905753467,0.6410859128339352
Eugene,deprivation-first1h-qWk,2480,3566.028028381,0.6954516286081847
Eugene,deprivation-last1h-qWk,3122,3591.48855645,0.8692774460865705
Allan,baseline-light-period-nrem,12709,16849.499994275,0.7542657054700834
Allan,recovery-first2h-match,5054,7193.989997863,0.7025308627759155
Allan,recovery-first2h,6561,7151.979974745,0.9173683403991815
Allan,recovery-first1h,3564,3485.989982604,1.0223781530599028
Allan,recovery-last1h,1959,3497.949954985,0.5600423177033134
Allan,recovery-full,9595,11807.92992973,0.8125895103630073
Allan,deprivation,7124,19548.087800073,0.3644346226014698
Allan,deprivation-first1h,1271,3567.899658624,0.35623199125789745
Allan,deprivation-last1h,1129,3598.580692493,0.31373480171090984
Allan,deprivation-first1h-aWk,587,3521.354490445,0.16669721880963473
Allan,deprivation-last1h-aWk,846,3517.313282807,0.24052449468613946
Allan,deprivation-first1h-qWk,2180,3570.595585253,0.6105424005461915
Allan,deprivation-last1h-qWk,1682,3515.991734283,0.4783856525029637
