subject,condition,amplitude,integral,duration
Segundo,baseline-light-period-nrem,-1427.967648778699,-62455.78376957557,1342.761200000046
Segundo,recovery-first2h-match,-370.5821842788573,-16112.205692329717,344.8400000000011
Segundo,recovery-first2h,-563.4890140001912,-24852.0547791555,510.14959999999076
Segundo,recovery-first1h,-305.3906922729145,-13263.105401881126,269.0679999999869
Segundo,recovery-last1h,-215.07301736102934,-9183.55136406595,192.090400000007
Segundo,recovery-full,-837.2732643105203,-36639.263411158405,756.9707999999862
Segundo,deprivation,-673.7009810745919,-24936.943806121755,505.33880000002466
Valentino,baseline-light-period-nrem,-533.3980722706618,-23391.689753146253,903.1492000000443
Valentino,recovery-first2h-match,-169.12109604739481,-7357.007872603794,280.03520000000384
Valentino,recovery-first2h,-255.06885041915277,-11716.821632629384,431.3836000000129
Valentino,recovery-first1h,-132.522702357225,-6119.191392234172,219.19840000000977
Valentino,recovery-last1h,-101.81992379618418,-4553.150701530031,174.26759999998825
Valentino,recovery-full,-415.3397084096114,-18863.57502074558,705.5360000000087
Valentino,deprivation,-354.6601354688762,-15323.963671054196,516.0999999999863
Doppio,baseline-light-period-nrem,-717.6178852749098,-30376.178609891525,1035.958558240032
Doppio,recovery-first2h-match,-240.86225821476063,-10103.737266590177,344.06925400395977
Doppio,recovery-first2h,-310.62852410357203,-13918.55998953638,431.8663657151768
Doppio,recovery-first1h,-157.23105677911968,-7131.401504017962,214.96938382679195
Doppio,recovery-last1h,-124.83638194147083,-5435.925330376771,175.83902317627354
Doppio,recovery-full,-493.30395385307315,-21875.753905016816,691.406104722015
Doppio,deprivation,-415.5289626183697,-18293.06718081868,524.5738724885398
Alessandro,baseline-light-period-nrem,-1570.7382436838861,-62202.515278638326,973.328496216683
Alessandro,recovery-first2h-match,-428.05954118649674,-17418.492017784138,274.4380481626218
Alessandro,recovery-first2h,-654.5872680903474,-25981.732090827,396.36615870791906
Alessandro,recovery-first1h,-354.086849765781,-13701.700092938861,205.70363682821397
Alessandro,recovery-last1h,-223.60812508848778,-8811.911607989416,140.2328070395675
Alessandro,recovery-full,-1277.3603686869812,-50774.94541143573,785.7103571222152
Alessandro,deprivation,-877.4423782200316,-30697.64680602576,423.51120521354665
Allan,baseline-light-period-nrem,-470.82873365627,-17841.02557808937,727.6618159033619
Allan,recovery-first2h-match,-184.17662501088375,-6926.981646510974,284.918484537709
Allan,recovery-first2h,-244.8385011959002,-9615.924522295845,387.5313149837864
Allan,recovery-first1h,-134.3494022066936,-5250.361557831347,209.2152620759193
Allan,recovery-last1h,-71.10468153547924,-2802.141706798301,115.76603434875912
Allan,recovery-full,-355.20370800298576,-14001.9122739297,567.9061685025301
Allan,deprivation,-301.8121770697065,-10914.083083723342,389.7213156335828
