subject,condition,amplitude_sum,integral_sum,duration_sum
Segundo,baseline-light-period-nrem,19962.999999999945,19962.99999999998,19962.99999999994
Segundo,recovery-first2h-match,5180.742120513762,5150.01082081791,5126.779743114238
Segundo,recovery-first2h,7877.581257605298,7943.564864811753,7584.458401687088
Segundo,recovery-first1h,4269.364502100838,4239.341133154303,4000.2678689252702
Segundo,recovery-last1h,3006.722630761509,2935.3764345865993,2855.832187584805
Segundo,recovery-full,11705.087429485051,11711.159020523888,11253.980291059319
Segundo,deprivation,9418.345504321947,7970.698294944976,7512.935631741607
Valentino,baseline-light-period-nrem,13496.999999999938,13497.000000000036,13496.999999999993
Valentino,recovery-first2h-match,4279.406979546424,4244.991973834547,4184.950940996088
Valentino,recovery-first2h,6454.212066144065,6760.603583771825,6446.7581316574115
Valentino,recovery-first1h,3353.328417744712,3530.772128587937,3275.783009938984
Valentino,recovery-last1h,2576.4313425935106,2627.1669839621254,2604.320301894443
Valentino,recovery-full,10509.67436110255,10884.278764887393,10543.794305525207
Valentino,deprivation,8974.250371858136,8841.923770829771,7712.791751351238
Doppio,baseline-light-period-nrem,15859.999999999982,15859.999999999962,15860.000000000011
Doppio,recovery-first2h-match,5323.272306434614,5275.359850430246,5267.52573749039
Doppio,recovery-first2h,6865.169463265739,7267.153787480141,6611.654979595913
Doppio,recovery-first1h,3474.9476172288237,3723.4449173568546,3291.0722155576423
Doppio,recovery-last1h,2758.9961986987687,2838.2034767105697,2692.006244258984
Doppio,recovery-full,10902.460583340307,11421.761156638288,10585.076723069464
Doppio,deprivation,9183.563401019033,9551.169987962474,8030.959879131151
Alessandro,baseline-light-period-nrem,15344.0,15344.000000000096,15344.000000000018
Alessandro,recovery-first2h-match,4181.565977894059,4296.760996297966,4326.368155638405
Alessandro,recovery-first2h,6394.437190261511,6409.1250235754,6248.499209521113
Alessandro,recovery-first1h,3458.952275882554,3379.9097236547886,3242.80714657044
Alessandro,recovery-last1h,2184.35062949181,2173.70585590169,2210.694744455633
Alessandro,recovery-full,12478.092754121253,12525.068462313953,12386.300993492521
Alessandro,deprivation,8571.431876409904,7572.438035370287,6676.426261078048
Allan,baseline-light-period-nrem,12708.999999999964,12709.000000000007,12709.000000000007
Allan,recovery-first2h-match,4971.448341919062,4934.414188252951,4976.252622922626
Allan,recovery-first2h,6608.884057552779,6849.874421117528,6768.440193628401
Allan,recovery-first1h,3626.470583869231,3740.0789963793395,3654.0556445468087
Allan,recovery-last1h,1919.3165859204544,1996.097073894416,2021.9152611599654
Allan,recovery-full,9587.953330617245,9974.219380522276,9918.782788593091
Allan,deprivation,8146.764808919194,7774.613701657751,6806.68971785788
