sglx_stim_time,stim_state
1.9342124037541453,Art
7.925843066209154,Art
15.737736694479736,Art
24.226945093288577,Art
32.57000816666937,Art
41.253530865879384,N2
46.88831789741198,N2
51.9683425165008,Art
60.87108320385323,N2
68.5204475016028,N2
75.07175577802946,N2
81.17414231491193,Art
87.44692250476032,Art
95.95415330917126,N2
101.76031703397507,N2
110.34225890160951,Art
117.31332538851484,Art
122.99824747563184,Art
130.92745058036712,Art
139.62506352395712,N2
146.2428908610607,N2
151.22264536898115,N2
158.85136582031373,N2
165.26832525497912,N2
170.4371511816712,N2
178.78906161780196,N2
185.4268774411189,Art
193.37737975247478,Art
199.2340062129649,N2
204.99134560259176,N2
210.13625088184858,N2
215.44991141356127,N2
223.89226155780466,N2
229.78263906878578,N2
235.769026849611,N2
243.48458252793557,N2
251.48915205609796,Art
259.7473459830976,N2
265.795665303174,N2
272.8729001430811,N2
278.7839215004792,N2
286.12362810197374,N2
291.17645527260856,N2
296.84695943524343,Art
303.12334410621224,Art
308.3688471767389,N2
314.5561028600023,N2
322.9650296338564,N2
330.1939803609232,N2
338.7264425331773,N2
345.4832062334681,N2
350.9885596247675,N2
357.53298661905524,N2
362.9924647960943,N2
368.0400490850993,N2
373.92682211496003,N2
380.4545374240531,N2
388.14256797382154,N2
395.0926629342082,N2
402.0558650986691,Art
408.2994817594522,Art
413.6105208503502,Art
421.0183849130308,Art
429.92767920242045,N2
435.9989361296266,N2
441.92535845181214,N2
448.6591845449732,N2
455.0532063725084,Art
463.10102967411626,Art
469.9947636569834,Art
478.0717504876559,N2
485.19486054182266,N2
490.17363200943805,N2
497.0096942943785,N2
502.48916095763093,N2
509.5962146868071,N2
517.03619139947,N2
525.4585530574998,N2
531.0441880737542,N2
536.4033961396251,Art
545.0862634786315,N2
551.118198793615,N2
557.7147269240979,N2
563.6355786845518,N2
570.0105950661793,N2
576.3259736692692,N2
581.4974210367761,N2
588.0421757111656,Art
594.412276891265,Art
601.1559333874818,Art
610.1910568359847,N2
615.3258040320836,N2
621.154577683915,N2
629.7184971459476,N2
634.7873806415735,N2
641.1217646905709,N2
649.0817697248806,N2
653.9966435726335,N2
660.0007260789591,N2
668.1606159754017,Art
676.1514229392862,Art
682.8741079089839,Art
687.9695334928604,Art
694.1987322291614,Art
699.1191766386457,N2
706.6889146716442,N2
714.8465108073735,N2
721.5249589633206,Art
729.4951220807882,N2
736.238778577005,Art
744.1919023291755,REM
752.3855432761095,REM
761.3272778955832,Art
768.7974011776166,N2
777.1561928958861,Art
786.2460389213995,Art
793.5913160846255,REM
800.0115523203092,REM
805.4317088851255,REM
814.5261424320645,REM
822.4648482597538,REM
829.6256415256341,REM
837.3238301585604,REM
843.3711664383311,REM
851.3826172486322,REM
856.3731851999144,REM
861.3860353981224,REM
866.8625529404583,REM
873.2493658057526,REM
881.2545906941189,REM
887.7203744639608,REM
895.1888593454853,Art
902.7297615295199,Art
908.7154939501413,Art
913.7401406320162,Art
918.6442010364078,N2
925.3544341622353,N2
932.1075933814061,N2
939.106840357071,N2
945.6211207819877,Art
953.2613100368856,N2
961.181338098769,N2
970.0257517279904,N2
975.0313929639581,N2
980.8552514142623,N2
989.7999351546521,N2
998.8979731827114,N2
1003.8361123176958,N2
1011.8734498560441,N2
